year,date,median,low,high
2019,2020/6/18,7,0,23
2019,2020/6/19,7,0,24
2019,2020/6/20,8,0,26
2019,2020/6/21,9,0,27
2019,2020/6/22,7,0,24
2019,2020/6/23,6,0,23
2019,2020/6/24,7,0,25
2019,2020/6/25,7,0,24
2019,2020/6/26,8,0,26
2019,2020/6/27,8,0,25
2019,2020/6/28,8,0,25
2019,2020/6/29,7,0,22
2019,2020/6/30,6,0,23
2019,2020/7/1,7,0,22
2019,2020/7/2,7,0,23
2019,2020/7/3,7,0,23
2019,2020/7/4,4,0,17
2019,2020/7/5,7,0,22
2019,2020/7/6,6,0,21
2019,2020/7/7,5,0,19
2019,2020/7/8,7,0,22
2019,2020/7/9,7,0,23
2019,2020/7/10,7,0,24
2019,2020/7/11,7,0,24
2019,2020/7/12,8,0,27
2019,2020/7/13,7,0,23
2019,2020/7/14,5,0,19
2019,2020/7/15,7,0,23
2019,2020/7/16,7,0,24
2019,2020/7/17,7,0,23
2019,2020/7/18,7,0,24
2019,2020/2/13,7,0,28
2019,2020/2/14,8,0,29
2019,2020/2/15,8,0,29
2019,2020/2/16,8,0,28
2019,2020/2/17,6,0,24
2019,2020/2/18,6,0,20
2019,2020/2/19,7,0,24
2019,2020/2/20,6,0,21
2019,2020/2/21,7,0,23
2019,2020/2/22,8,0,24
2019,2020/2/23,7,0,20
2019,2020/2/24,5,0,15
2019,2020/2/25,6,0,21
2019,2020/2/26,7,0,23
2019,2020/2/27,7,0,23
2019,2020/2/28,7,0,23
2019,2020/3/1,8,0,23
2019,2020/3/2,7,0,21
2019,2020/3/3,5,0,17
2019,2020/3/4,6,0,20
2019,2020/3/5,7,0,23
2019,2020/3/6,7,0,22
2019,2020/3/7,7,0,23
2019,2020/3/8,8,0,24
2019,2020/3/9,7,0,21
2019,2020/3/10,5,0,21
2019,2020/3/11,7,0,26
2019,2020/3/12,6,0,24
2019,2020/3/13,7,0,23
2019,2020/3/14,8,0,25
2019,2020/3/15,9,0,26
2019,2020/3/16,8,0,23
2019,2020/3/17,6,0,18
2019,2020/3/18,6,0,21
2019,2020/3/19,7,0,23
2019,2020/3/20,7,0,24
