year,date,median,low,high
2019,2020/6/11,9,0,33
2019,2020/6/12,10,0,31
2019,2020/6/13,8,0,25
2019,2020/6/14,10,0,31
2019,2020/6/15,8,0,27
2019,2020/6/16,6,0,19
2019,2020/6/17,8,0,28
2019,2020/6/18,8,0,27
2019,2020/6/19,9,0,29
2019,2020/6/20,10,0,33
2019,2020/6/21,10,0,32
2019,2020/6/22,8,0,28
2019,2020/6/23,6,0,23
2019,2020/6/24,9,0,29
2019,2020/6/25,9,0,29
2019,2020/6/26,9,0,30
2019,2020/6/27,9,0,29
2019,2020/6/28,10,0,31
2019,2020/6/29,8,0,26
2019,2020/6/30,7,0,27
2019,2020/7/1,8,0,28
2019,2020/7/2,9,0,28
2019,2020/7/3,9,0,28
2019,2020/7/4,5,0,21
2019,2020/7/5,7,0,25
2019,2020/7/6,6,0,22
2019,2020/7/7,6,0,20
2019,2020/7/8,8,0,26
2019,2020/7/9,9,0,28
2019,2020/7/10,9,0,28
2019,2020/7/11,9,0,28
2020,2020/2/20,9,0,28
2020,2020/2/21,9,0,28
2020,2020/2/22,8,0,25
2020,2020/2/23,6,0,20
2020,2020/2/24,8,0,27
2020,2020/2/25,6,0,21
2020,2020/2/26,9,0,28
2020,2020/2/27,9,0,29
2020,2020/2/28,10,0,30
2020,2020/2/29,7,0,23
2020,2020/3/1,5,0,18
2020,2020/3/2,8,0,26
2020,2020/3/3,8,0,25
2020,2020/3/4,8,0,25
2020,2020/3/5,8,0,25
2020,2020/3/6,8,0,25
2020,2020/3/7,7,0,22
2020,2020/3/8,5,0,17
2020,2020/3/9,8,0,25
2020,2020/3/10,7,0,22
2020,2020/3/11,7,0,22
2020,2020/3/12,7,0,21
2020,2020/3/13,7,0,22
2020,2020/3/14,4,0,15
2020,2020/3/15,3,0,12
2020,2020/3/16,4,0,14
2020,2020/3/17,4,0,13
2020,2020/3/18,3,0,11
2020,2020/3/19,3,0,11
2020,2020/3/20,2,0,9
2020,2020/3/21,1,0,6
2020,2020/3/22,1,0,6
2020,2020/3/23,2,0,7
2020,2020/3/24,2,0,8
2020,2020/3/25,2,0,8
2020,2020/3/26,2,0,8
2020,2020/3/27,2,0,8
2020,2020/3/28,1,0,6
2020,2020/3/29,1,0,5
2020,2020/3/30,1,0,6
2020,2020/3/31,1,0,6
2020,2020/4/1,1,0,6
2020,2020/4/2,1,0,6
2020,2020/4/3,1,0,7
2020,2020/4/4,1,0,6
2020,2020/4/5,1,0,5
2020,2020/4/6,1,0,6
2020,2020/4/7,1,0,6
2020,2020/4/8,1,0,6
2020,2020/4/9,1,0,6
2020,2020/4/10,1,0,6
2020,2020/4/11,1,0,6
2020,2020/4/12,1,0,5
2020,2020/4/13,1,0,5
2020,2020/4/14,1,0,6
2020,2020/4/15,1,0,6
2020,2020/4/16,1,0,6
2020,2020/4/17,1,0,7
2020,2020/4/18,1,0,6
2020,2020/4/19,1,0,5
2020,2020/4/20,1,0,6
2020,2020/4/21,1,0,6
2020,2020/4/22,1,0,7
2019,2020/1/1,4,0,20
2019,2020/1/2,9,0,30
