year,date,median,low,high
2019,2020/1/1,7,0,54
2019,2020/1/2,16,0,77
2019,2020/1/3,16,0,81
2019,2020/1/4,12,0,95
2019,2020/1/5,9,0,72
2019,2020/1/7,24,0,112
2019,2020/1/8,26,0,129
2019,2020/1/9,34,0,143
2019,2020/1/10,26,0,126
2019,2020/1/11,18,0,78
2019,2020/1/12,14,0,86
2019,2020/1/13,8,0,65
2019,2020/1/14,14,0,57
2019,2020/1/15,15,0,60
2019,2020/1/16,15,0,59
2019,2020/1/17,16,0,64
2019,2020/1/18,16,0,67
2019,2020/1/19,11,0,73
2019,2020/1/20,9,0,53
2019,2020/1/21,9,0,64
2019,2020/1/22,15,0,59
2019,2020/1/23,16,0,58
2019,2020/1/24,16,0,55
2019,2020/1/25,17,0,70
2019,2020/1/26,12,0,79
2019,2020/1/27,9,0,67
2019,2020/1/28,14,0,52
2019,2020/1/29,15,0,57
2019,2020/1/30,13,0,52
2019,2020/1/31,13,0,53
2019,2020/2/1,14,0,61
2019,2020/2/2,12,0,77
2019,2020/2/3,7,0,51
2019,2020/2/4,16,0,57
2019,2020/2/5,17,0,62
2019,2020/2/6,14,0,57
2019,2020/2/7,13,0,56
2019,2020/2/8,15,0,64
2019,2020/2/9,12,0,77
2019,2020/2/10,8,0,62
2019,2020/2/11,15,0,58
2019,2020/2/12,13,0,54
2019,2020/2/13,15,0,70
2019,2020/2/14,16,0,67
2019,2020/2/15,18,0,70
2019,2020/2/16,13,0,80
2019,2020/2/17,10,0,64
2019,2020/2/18,13,0,71
2019,2020/2/19,17,0,62
2019,2020/2/20,12,0,49
2019,2020/2/21,17,0,65
2019,2020/2/22,17,0,74
2019,2020/2/23,12,0,79
2019,2020/2/24,8,0,53
2019,2020/2/25,14,0,56
2019,2020/2/26,13,0,54
2019,2020/2/27,14,0,59
2019,2020/2/28,15,0,60
2019,2020/3/1,19,0,71
2019,2020/3/2,10,0,75
2019,2020/3/3,10,0,63
2019,2020/3/4,13,0,55
2019,2020/3/5,14,0,57
2019,2020/3/6,15,0,59
2019,2020/3/7,15,0,66
2019,2020/3/8,15,0,66
2019,2020/3/9,13,0,81
2019,2020/3/10,7,0,53
2019,2020/3/11,16,0,60
2019,2020/3/12,14,0,56
2019,2020/3/13,15,0,58
2019,2020/3/14,16,0,63
2019,2020/3/15,17,0,71
2019,2020/3/16,15,0,90
2019,2020/3/17,9,0,65
2019,2020/3/18,15,0,61
2019,2020/3/19,15,0,60
2019,2020/3/20,17,0,62
2019,2020/3/21,15,0,57
2019,2020/3/22,18,0,74
2019,2020/3/23,12,0,92
2019,2020/3/24,9,0,69
2019,2020/3/25,15,0,60
2019,2020/3/26,16,0,61
2019,2020/3/27,15,0,56
2019,2020/3/28,18,0,67
2019,2020/3/29,17,0,70
2019,2020/3/30,14,0,85
2019,2020/3/31,10,0,66
2019,2020/4/1,16,0,65
2019,2020/4/2,15,0,66
2019,2020/4/3,18,0,72
2019,2020/4/4,19,0,68
2019,2020/4/5,17,0,71
2019,2020/4/6,17,0,97
2019,2020/4/7,10,0,72
2019,2020/4/8,15,0,67
2019,2020/4/9,16,0,65
2019,2020/4/10,17,0,68
2019,2020/4/11,15,0,63
2019,2020/4/12,17,0,74
2019,2020/4/13,15,0,97
2019,2020/4/14,11,0,75
2019,2020/4/15,17,0,70
2019,2020/4/16,18,0,72
2019,2020/4/17,18,0,73
2019,2020/4/18,18,0,75
2019,2020/4/19,19,0,94
2019,2020/4/20,13,0,102
2019,2020/4/21,7,0,25
2019,2020/4/22,17,0,78
2019,2020/4/23,17,0,109
2019,2020/4/24,17,0,130
2019,2020/4/25,16,0,144
2019,2020/4/26,16,0,178
2019,2020/4/27,15,0,155
2019,2020/4/28,9,0,147
