year,date,median,low,high
2019,2020/4/27,5,0,37
2019,2020/4/28,4,0,32
2019,2020/4/29,6,0,37
2019,2020/4/30,5,0,34
2019,2020/5/1,6,0,36
2019,2020/5/2,6,0,35
2019,2020/5/3,7,0,35
2019,2020/5/4,5,0,28
2019,2020/5/5,4,0,20
2019,2020/5/6,6,0,34
2019,2020/5/7,5,0,31
2019,2020/5/8,6,0,35
2019,2020/5/9,6,0,36
2019,2020/5/10,7,0,35
2019,2020/5/11,5,0,28
2019,2020/5/12,4,0,19
2019,2020/5/13,5,0,31
2019,2020/5/14,6,0,33
2019,2020/5/15,6,0,35
2019,2020/5/16,7,0,36
2019,2020/5/17,7,0,36
2019,2020/5/18,6,0,30
2019,2020/5/19,4,0,21
2019,2020/5/20,5,0,30
2019,2020/5/21,5,0,32
2019,2020/5/22,6,0,32
2019,2020/5/23,5,0,30
2019,2020/5/24,6,0,30
2019,2020/5/25,4,0,25
2019,2020/5/26,4,0,22
2019,2020/5/27,3,0,20
2019,2020/6/28,6,0,32
2019,2020/6/29,5,0,27
2019,2020/6/30,4,0,29
2019,2020/7/1,5,0,29
2019,2020/7/2,5,0,29
2019,2020/7/3,5,0,29
2019,2020/7/4,3,0,20
2019,2020/7/5,5,0,27
2019,2020/7/6,4,0,26
2019,2020/7/7,3,0,20
2019,2020/7/8,5,0,27
2019,2020/7/9,5,0,29
2019,2020/7/10,5,0,30
2019,2020/7/11,5,0,31
2019,2020/7/12,6,0,32
2019,2020/7/13,5,0,27
2019,2020/7/14,4,0,21
2019,2020/7/15,5,0,29
2019,2020/7/16,5,0,29
2019,2020/7/17,5,0,29
2019,2020/7/18,5,0,30
2019,2020/7/19,6,0,31
2019,2020/7/20,4,0,23
2019,2020/7/21,3,0,19
2019,2020/7/22,5,0,27
2019,2020/7/23,5,0,29
2019,2020/7/24,5,0,30
2019,2020/7/25,5,0,30
2019,2020/7/26,6,0,31
2019,2020/7/27,4,0,24
2019,2020/7/28,3,0,20
2019,2020/3/27,6,0,33
2019,2020/3/28,6,0,34
2019,2020/3/29,6,0,33
2019,2020/3/30,5,0,31
2019,2020/3/31,4,0,21
2019,2020/4/1,5,0,32
2019,2020/4/2,6,0,34
2019,2020/4/3,6,0,35
2019,2020/4/4,6,0,35
2019,2020/4/5,6,0,34
2019,2020/4/6,5,0,32
2019,2020/4/7,4,0,26
2019,2020/4/8,6,0,34
2019,2020/4/9,5,0,33
2019,2020/4/10,6,0,35
2019,2020/4/11,6,0,34
2019,2020/4/12,6,0,34
2019,2020/4/13,6,0,33
2019,2020/4/14,5,0,25
2019,2020/4/15,6,0,36
2019,2020/4/16,7,0,38
2019,2020/4/17,6,0,37
2019,2020/4/18,6,0,37
2019,2020/4/19,7,0,39
