year,date,median,low,high
2020,2020/7/5,0,0,2
2020,2020/7/6,0,0,4
2020,2020/7/7,0,0,4
2020,2020/7/8,0,0,4
2020,2020/7/9,0,0,4
2020,2020/7/10,0,0,4
2020,2020/7/11,0,0,4
2020,2020/7/12,0,0,3
2020,2020/7/13,0,0,4
2020,2020/7/14,0,0,5
2020,2020/7/15,0,0,6
2020,2020/7/16,0,0,5
2020,2020/7/17,0,0,5
2020,2020/7/18,0,0,5
2020,2020/7/19,0,0,4
2020,2020/7/20,0,0,5
2020,2020/7/21,0,0,5
2020,2020/7/22,0,0,4
2020,2020/7/23,0,0,5
2020,2020/7/24,0,0,4
2020,2020/7/25,0,0,5
2020,2020/7/26,0,0,3
2020,2020/7/27,0,0,3
2020,2020/7/28,0,0,4
2020,2020/7/29,0,0,4
2020,2020/7/30,0,0,4
2020,2020/7/31,0,0,4
2020,2020/8/1,0,0,4
2020,2020/8/2,0,0,3
2020,2020/8/3,0,0,7
2020,2020/8/4,0,0,5
2020,2020/8/5,0,0,6
2020,2020/8/6,0,0,6
2020,2020/8/7,0,0,7
2020,2020/8/8,0,0,5
2020,2020/8/9,0,0,5
2020,2020/8/10,0,0,4
2020,2020/8/11,0,0,4
2020,2020/8/12,0,0,4
2020,2020/8/13,0,0,3
2020,2020/8/14,0,0,4
2020,2020/8/15,0,0,3
2020,2020/8/16,0,0,2
2020,2020/8/17,0,0,3
2020,2020/8/18,0,0,4
2020,2020/8/19,0,0,4
2020,2020/8/20,0,0,4
2020,2020/8/21,0,0,4
2020,2020/8/22,0,0,4
2020,2020/8/23,0,0,3
2020,2020/8/24,0,0,3
2020,2020/8/25,0,0,4
2020,2020/8/26,0,0,4
2020,2020/8/27,0,0,3
2020,2020/8/28,0,0,3
2020,2020/8/29,0,0,3
2020,2020/8/30,0,0,3
2020,2020/8/31,0,0,3
2020,2020/9/1,0,0,4
2020,2020/9/2,0,0,3
2020,2020/9/3,0,0,4
2020,2020/9/4,0,0,4
2020,2020/9/5,0,0,4
2020,2020/9/6,0,0,3
2020,2020/9/7,0,0,3
2020,2020/9/8,0,0,4
2020,2020/9/9,0,0,4
2020,2020/9/10,0,0,4
2020,2020/9/11,0,0,4
2020,2020/9/12,0,0,4
2020,2020/9/13,0,0,3
2020,2020/9/14,0,0,4
2020,2020/9/15,0,0,4
2020,2020/9/16,0,0,4
2020,2020/9/17,0,0,4
2020,2020/9/18,0,0,3
2020,2020/9/19,0,0,4
2020,2020/9/20,0,0,3
2020,2020/9/21,0,0,3
2020,2020/9/22,0,0,4
2020,2020/9/23,0,0,3
2020,2020/9/24,0,0,4
2020,2020/9/25,0,0,4
2020,2020/9/26,0,0,4
2020,2020/9/27,0,0,4
2020,2020/9/28,0,0,3
2020,2020/9/29,0,0,3
2020,2020/9/30,0,0,3
2020,2020/10/1,0,0,4
2020,2020/10/2,0,0,4
2020,2020/10/3,0,0,4
2020,2020/10/4,0,0,3
2020,2020/10/5,0,0,3
2020,2020/10/6,0,0,3
2020,2020/10/7,0,0,4
2020,2020/10/8,1,0,5
2020,2020/10/9,0,0,4
2020,2020/10/10,0,0,4
2020,2020/10/11,0,0,4
2020,2020/10/12,0,0,3
2020,2020/10/13,0,0,3
2020,2020/10/14,0,0,4
2020,2020/10/15,0,0,4
2020,2020/10/16,0,0,4
2020,2020/10/17,0,0,4
2020,2020/10/18,0,0,3
2020,2020/10/19,0,0,3
2020,2020/10/20,0,0,4
2020,2020/10/21,0,0,3
2020,2020/10/22,0,0,4
2020,2020/10/23,0,0,4
2020,2020/10/24,0,0,4
2020,2020/10/25,0,0,3
2020,2020/10/26,0,0,4
2020,2020/10/27,0,0,4
2020,2020/10/28,0,0,4
2020,2020/10/29,0,0,3
2020,2020/10/30,0,0,4
2020,2020/10/31,0,0,4
2020,2020/11/1,0,0,3
2020,2020/11/2,0,0,3
2020,2020/11/3,0,0,3
2020,2020/11/4,0,0,3
2020,2020/11/5,0,0,4
2020,2020/11/6,0,0,4
2020,2020/11/7,0,0,3
2020,2020/11/8,0,0,3
2020,2020/11/9,0,0,3
2020,2020/11/10,0,0,3
2020,2020/11/11,0,0,3
2020,2020/11/12,0,0,3
2020,2020/11/13,0,0,4
2020,2020/11/14,0,0,4
2020,2020/11/15,0,0,3
2020,2020/11/16,0,0,3
2020,2020/11/17,0,0,3
2020,2020/11/18,0,0,3
2020,2020/11/19,0,0,3
2020,2020/11/20,0,0,3
2020,2020/11/21,0,0,3
2020,2020/11/22,0,0,3
2020,2020/11/23,0,0,4
2020,2020/11/24,0,0,4
2020,2020/11/25,0,0,3
2020,2020/11/26,0,0,3
2020,2020/11/27,0,0,3
2020,2020/11/28,0,0,3
2020,2020/11/29,0,0,3
2019,2020/1/1,0,0,10
2019,2020/1/2,1,0,14
2019,2020/1/3,1,0,13
2019,2020/1/4,1,0,10
2019,2020/1/5,0,0,7
2019,2020/1/7,2,0,17
2019,2020/1/8,2,0,19
2019,2020/1/9,2,0,21
2019,2020/1/10,2,0,21
2019,2020/1/11,1,0,10
2019,2020/1/12,1,0,7
2019,2020/1/13,1,0,6
2019,2020/1/14,1,0,44
2019,2020/1/15,1,0,50
2020,2020/6/3,0,0,3
