year,date,median,low,high
2020,2020/6/28,1,0,9
2020,2020/6/29,2,0,10
2020,2020/6/30,2,0,10
2020,2020/7/1,2,0,10
2020,2020/7/2,2,0,11
2020,2020/7/3,2,0,13
2020,2020/7/4,1,0,9
2020,2020/7/5,1,0,8
2020,2020/7/6,2,0,9
2020,2020/7/7,2,0,10
2020,2020/7/8,2,0,9
2020,2020/7/9,2,0,10
2020,2020/7/10,2,0,10
2020,2020/7/11,2,0,11
2020,2020/7/12,1,0,9
2020,2020/7/13,2,0,10
2020,2020/7/14,2,0,10
2020,2020/7/15,2,0,10
2020,2020/7/16,2,0,10
2020,2020/7/17,2,0,10
2020,2020/7/18,2,0,10
2020,2020/7/19,1,0,9
2020,2020/7/20,2,0,10
2020,2020/7/21,2,0,10
2020,2020/7/22,2,0,10
2020,2020/7/23,2,0,10
2020,2020/7/24,2,0,11
2020,2020/7/25,2,0,11
2020,2020/7/26,1,0,9
2020,2020/7/27,2,0,10
2020,2020/7/28,2,0,10
2019,2020/7/16,3,0,16
2019,2020/7/17,3,0,15
2019,2020/7/18,3,0,15
2019,2020/7/19,3,0,16
2019,2020/7/20,3,0,15
2019,2020/7/21,2,0,13
2019,2020/7/22,3,0,15
2019,2020/7/23,3,0,15
2019,2020/7/24,3,0,15
2019,2020/7/25,3,0,15
2019,2020/7/26,3,0,15
2019,2020/7/27,3,0,14
2019,2020/7/28,2,0,13
2019,2020/7/29,3,0,15
2019,2020/7/30,3,0,15
2019,2020/7/31,3,0,14
2019,2020/8/1,4,0,16
2019,2020/8/2,3,0,15
2019,2020/8/3,3,0,15
2019,2020/8/4,2,0,13
2019,2020/8/5,3,0,16
2019,2020/8/6,4,0,16
2019,2020/8/7,3,0,14
2019,2020/8/8,3,0,15
2019,2020/8/9,4,0,16
2019,2020/8/10,3,0,15
2019,2020/8/11,2,0,13
2019,2020/8/12,3,0,15
2019,2020/8/13,3,0,14
2019,2020/8/14,3,0,15
2019,2020/8/15,3,0,14
2019,2020/1/1,2,0,11
2019,2020/1/2,4,0,17
2019,2020/1/3,4,0,17
2019,2020/1/4,3,0,17
2019,2020/1/5,3,0,16
2019,2020/1/7,6,0,31
2019,2020/1/8,6,0,33
2019,2020/5/14,4,0,19
2019,2020/5/15,4,0,21
2019,2020/5/16,4,0,20
2019,2020/5/17,4,0,20
2019,2020/5/18,3,0,16
2019,2020/5/19,3,0,14
2019,2020/5/20,4,0,18
2019,2020/5/21,4,0,18
2019,2020/5/22,4,0,18
2019,2020/5/23,4,0,17
2019,2020/5/24,4,0,18
2019,2020/5/25,3,0,15
2019,2020/5/26,3,0,14
2019,2020/5/27,3,0,15
2019,2020/5/28,3,0,16
